0508	http://www.w3.org/TR/CSS21/selector.html#attribute-selectors	5.8	Attribute selectors
050801	http://www.w3.org/TR/CSS21/selector.html#matching-attrs	5.8.1	Matching attributes and attribute values
050802	http://www.w3.org/TR/CSS21/selector.html#default-attrs	5.8.2	Default attribute values in DTDs
050803	http://www.w3.org/TR/CSS21/selector.html#class-html	5.8.3	Class selectors
0509	http://www.w3.org/TR/CSS21/selector.html#id-selectors	5.9	ID selectors
0510	http://www.w3.org/TR/CSS21/selector.html#pseudo-elements	5.10	Pseudo-elements and pseudo-classes
0511	http://www.w3.org/TR/CSS21/selector.html#pseudo-class-selectors	5.11	Pseudo-classes
051101	http://www.w3.org/TR/CSS21/selector.html#first-child	5.11.1	:first-child pseudo-class
051102	http://www.w3.org/TR/CSS21/selector.html#link-pseudo-classes	5.11.2	The link pseudo-classes: :link and :visited
051103	http://www.w3.org/TR/CSS21/selector.html#dynamic-pseudo-classes	5.11.3	The dynamic pseudo-classes: :hover, :active, and :focus
051104	http://www.w3.org/TR/CSS21/selector.html#lang	5.11.4	The language pseudo-class: :lang
0512	http://www.w3.org/TR/CSS21/selector.html#pseudo-element-selectors	5.12	Pseudo-elements
051201	http://www.w3.org/TR/CSS21/selector.html#first-line-pseudo	5.12.1	The :first-line pseudo-element
051202	http://www.w3.org/TR/CSS21/selector.html#first-letter	5.12.2	The :first-letter pseudo-element
051203	http://www.w3.org/TR/CSS21/selector.html#before-and-after	5.12.3	The :before and :after pseudo-elements
06	http://www.w3.org/TR/CSS21/cascade.html	6	Assigning property values, Cascading, and Inheritance
0601	http://www.w3.org/TR/CSS21/cascade.html#value-stages	6.1	Specified, computed, and actual values
060101	http://www.w3.org/TR/CSS21/cascade.html#specified-value	6.1.1	 Specified values
060102	http://www.w3.org/TR/CSS21/cascade.html#computed-value	6.1.2	 Computed values
060103	http://www.w3.org/TR/CSS21/cascade.html#used-value	6.1.3	 Used values
060104	http://www.w3.org/TR/CSS21/cascade.html#actual-value	6.1.4	 Actual values
0602	http://www.w3.org/TR/CSS21/cascade.html#inheritance	6.2	Inheritance
060201	http://www.w3.org/TR/CSS21/cascade.html#value-def-inherit	6.2.1	The 'inherit' value
0603	http://www.w3.org/TR/CSS21/cascade.html#at-import	6.3	The @import rule
0604	http://www.w3.org/TR/CSS21/cascade.html#cascade	6.4	The cascade
060401	http://www.w3.org/TR/CSS21/cascade.html#cascading-order	6.4.1	Cascading order
060402	http://www.w3.org/TR/CSS21/cascade.html#important-rules	6.4.2	!important rules
060403	http://www.w3.org/TR/CSS21/cascade.html#specificity	6.4.3	Calculating a selector's specificity
060404	http://www.w3.org/TR/CSS21/cascade.html#preshint	6.4.4	Precedence of non-CSS presentational hints
07	http://www.w3.org/TR/CSS21/media.html	7	Media types
0701	http://www.w3.org/TR/CSS21/media.html#media-intro	7.1	Introduction to media types
0702	http://www.w3.org/TR/CSS21/media.html#media-sheets	7.2	Specifying media-dependent style sheets
070201	http://www.w3.org/TR/CSS21/media.html#at-media-rule	7.2.1	The @media rule
0703	http://www.w3.org/TR/CSS21/media.html#media-types	7.3	Recognized media types
070301	http://www.w3.org/TR/CSS21/media.html#media-groups	7.3.1	Media groups
08	http://www.w3.org/TR/CSS21/box.html	8	Box model
0801	http://www.w3.org/TR/CSS21/box.html#box-dimensions	8.1	Box dimensions
0802	http://www.w3.org/TR/CSS21/box.html#mpb-examples	8.2	Example of margins, padding, and borders
0803	http://www.w3.org/TR/CSS21/box.html#margin-properties	8.3	Margin properties: 'margin-top',  'margin-right',  'margin-bottom', 'margin-left', and 'margin'
080301	http://www.w3.org/TR/CSS21/box.html#collapsing-margins	8.3.1	Collapsing margins
0804	http://www.w3.org/TR/CSS21/box.html#padding-properties	8.4	Padding properties: 'padding-top', 'padding-right', 'padding-bottom', 'padding-left', and 'padding'
0805	http://www.w3.org/TR/CSS21/box.html#border-properties	8.5	Border properties
080501	http://www.w3.org/TR/CSS21/box.html#border-width-properties	8.5.1	Border width: 'border-top-width', 'border-right-width', 'border-bottom-width', 'border-left-width', and 'border-width'
080502	http://www.w3.org/TR/CSS21/box.html#border-color-properties	8.5.2	Border color: 'border-top-color', 'border-right-color', 'border-bottom-color', 'border-left-color', and 'border-color'
080503	http://www.w3.org/TR/CSS21/box.html#border-style-properties	8.5.3	Border style: 'border-top-style', 'border-right-style', 'border-bottom-style', 'border-left-style', and 'border-style'
080504	http://www.w3.org/TR/CSS21/box.html#border-shorthand-properties	8.5.4	Border shorthand properties: 'border-top', 'border-right', 'border-bottom', 'border-left', and 'border'
0806	http://www.w3.org/TR/CSS21/box.html#bidi-box-model	8.6	The box model for inline elements in bidirection context
09	http://www.w3.org/TR/CSS21/visuren.html	9	Visual formatting model
0901	http://www.w3.org/TR/CSS21/visuren.html#visual-model-intro	9.1	Introduction to the visual formatting model
090101	http://www.w3.org/TR/CSS21/visuren.html#viewport	9.1.1	The viewport
090102	http://www.w3.org/TR/CSS21/visuren.html#containing-block	9.1.2	 Containing blocks
0902	http://www.w3.org/TR/CSS21/visuren.html#box-gen	9.2	Controlling box generation
